ID,어휘,표기통일,뜻검수,예문1,예문2,예문3,그림,관련어10,L4음절선택,L5어절조립,교란지검수,문화편향검수,최종승인,비고
100,순서,순서,"정해진 기준에서 앞뒤, 좌우, 위아래 등으로 벌여진 관계.",순서가 바뀌다.,순서를 맞추다.,순서를 매기다.,미사용,"대상, 찬성, 영향, 용액, 기준, 판단",정답:순서 | 보기:태/당/순/히/서,"chunks:지수는/도서관에서/순서를/배웠다. | targetIndex:2 | vocabDistractor:대상을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:순서가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=64563 | AUTO_SELECTED_90_BALANCED
101,바꾸다,바꾸다,원래 있던 것을 없애고 다른 것으로 대신하게 하다.,달러를 원화로 바꾸다.,만 원을 천 원 열 장으로 바꾸다.,절망을 희망으로 바꾸다.,미사용,"기록, 도구, 정리, 범위, 추측, 보호",정답:바꾸다 | 보기:바/화/다/꾸/나,"chunks:나는/수업 시간에/'바꾸다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'기록' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'바꾸다' 뜻이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=17198 | AUTO_SELECTED_90_BALANCED
102,용액,용액,두 가지 이상의 물질이 고르게 섞인 액체.,특수 용액.,묽은 용액.,용액의 농도.,미사용,"비교, 입체, 구하다, 해결, 반대, 문제점",정답:용액 | 보기:용/액/가/나/다,"chunks:우리는/교실에서/용액을/배웠다. | targetIndex:2 | vocabDistractor:비교를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:용액이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=69253
103,설명하다,설명하다,어떤 것을 남에게 알기 쉽게 풀어 말하다.,설명하기 쉽다.,설명하기 어렵다.,길을 설명하다.,미사용,"계획, 반대, 제출, 검토, 작성, 대상",정답:설명하다 | 보기:하/설/두/명/전/다,"chunks:민수는/집에서/'설명하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'계획' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'설명하다' 뜻이,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=65117 | AUTO_SELECTED_90_BALANCED
104,정리,정리,흐트러지거나 어수선한 상태에 있는 것을 한곳에 모으거나 치움.,옷장 정리.,책상 정리.,정리가 되다.,미사용,"작품, 범위, 참고, 보호, 설명, 대비",정답:정리 | 보기:리/정/바/측/택,"chunks:지수는/도서관에서/정리를/배웠다. | targetIndex:2 | vocabDistractor:작품을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:정리가,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=75781 | AUTO_SELECTED_90_BALANCED
105,완성,완성,완전하게 다 이룸.,완성 단계.,완성이 되다.,완성을 시키다.,미사용,"해결, 참여, 영향, 이용, 환경, 설명",정답:완성 | 보기:성/방/준/완/까,"chunks:나는/수업 시간에/완성을/배웠다. | targetIndex:2 | vocabDistractor:해결을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:완성이,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=22147 | AUTO_SELECTED_90_BALANCED
106,이용,이용,대상을 필요에 따라 이롭거나 쓸모가 있게 씀.,폐품 이용.,자원의 이용.,평화적 이용.,미사용,"실행, 완성, 구별, 참여, 판단, 대상",정답:이용 | 보기:획/있/정/이/용,"chunks:우리는/교실에서/이용을/배웠다. | targetIndex:2 | vocabDistractor:실행을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:이용이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=70750 | AUTO_SELECTED_90_BALANCED
107,의생활,의생활,사람이 입는 일이나 입는 옷에 관한 생활.,검소한 의생활.,화려한 의생활.,의생활 분야.,미사용,"정확히, 특징, 반면, 형태, 구별, 연결",정답:의생활 | 보기:의/생/활/가/나,"chunks:민수는/집에서/의생활을/배웠다. | targetIndex:2 | vocabDistractor:정확히를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:의생활이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=71882
108,식생활,식생활,음식을 먹는 일이나 음식과 관련된 생활.,식생활 개선.,식생활 문화.,식생활 습관.,미사용,"선택, 판단, 검토, 고려, 장단점, 사례",정답:식생활 | 보기:식/생/활/가/나,"chunks:지수는/도서관에서/식생활을/배웠다. | targetIndex:2 | vocabDistractor:선택을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:식생활이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=13989
109,주생활,주생활,사람이 사는 집이나 사는 곳에 관한 생활.,주생활 목적.,주생활 수준.,주생활 양식.,미사용,"원인, 효과적, 까닭, 역할, 자료, 정하다",정답:주생활 | 보기:주/생/활/가/나,"chunks:나는/수업 시간에/주생활을/배웠다. | targetIndex:2 | vocabDistractor:원인을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:주생활이,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=76955
110,기록,기록,주로 후일에 남길 목적으로 어떤 사실이나 생각을 적거나 영상으로 남김. 또는 그런 글이나 영상.,생활 기록.,성적 기록.,영상 기록.,미사용,"연구, 기술, 번갈다, 설명, 관찰, 주제",정답:기록 | 보기:기/록/가/나/다,"chunks:우리는/교실에서/기록을/배웠다. | targetIndex:2 | vocabDistractor:연구를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:기록이,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=32499
111,적당하다,적당하다,"기준, 조건, 정도에 알맞다.",적당한 가격.,적당한 공간.,적당한 일.,미사용,"기술, 번갈다, 설명, 관찰, 주제, 표시",정답:적당하다 | 보기:적/당/하/다/가,"chunks:민수는/집에서/'적당하다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'기술' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'적당하다' 뜻이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=70823
112,성질,성질,사람이 가지고 있는 마음의 본래 바탕.,성질이 고약하다.,성질이 급하다.,성질이 드세다.,미사용,"찬성, 보호, 전시, 평가, 범위, 순서",정답:성질 | 보기:성/질/가/나/다,"chunks:지수는/도서관에서/성질을/배웠다. | targetIndex:2 | vocabDistractor:찬성을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:성질이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=49072
113,크기,크기,"사물의 부피, 넓이, 양 등이 큰 정도.",물건의 크기.,크기가 작다.,크기가 줄어들다.,미사용,"용액, 정리, 완성, 이용, 의생활, 식생활",정답:크기 | 보기:크/기/가/나/다,"chunks:나는/수업 시간에/크기를/배웠다. | targetIndex:2 | vocabDistractor:용액을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:크기가,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62458
114,요약,요약,말이나 글에서 중요한 것을 골라 짧게 만듦.,내용 요약.,이야기 요약.,제시문 요약.,미사용,"의견, 관찰, 측정, 확대, 제시, 작품",정답:요약 | 보기:요/악/확/표/약,"chunks:우리는/교실에서/요약을/배웠다. | targetIndex:2 | vocabDistractor:의견을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:요약이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=69280 | AUTO_SELECTED_90_BALANCED
115,모두,모두,남거나 빠진 것이 없는 전체.,가족 모두.,학생 모두.,모두가 모이다.,미사용,"맞다, 의견, 대비, 보고, 제시, 미래",정답:모두 | 보기:모/두/가/나/다,"chunks:민수는/집에서/모두를/배웠다. | targetIndex:2 | vocabDistractor:맞다를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:모두가,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=64739
116,다르다,다르다,두 개의 대상이 서로 같지 아니하다.,다른 느낌.,다른 모습.,다른 문제.,미사용,"표시, 찬성, 내용, 단서, 계획, 정리",정답:다르다 | 보기:다/르/예/나/측,"chunks:지수는/도서관에서/'다르다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'표시' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'다르다' 뜻이,혼자 놀았다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=26824 | AUTO_SELECTED_90_BALANCED
117,모습,모습,사람이나 사물의 생김새.,어머니의 모습.,자신의 모습.,젊은 시절의 모습.,미사용,"단서, 짐작, 계획, 개요, 보존, 조사",정답:모습 | 보기:모/습/가/나/다,"chunks:나는/수업 시간에/모습을/배웠다. | targetIndex:2 | vocabDistractor:단서를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:모습이,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=62383
118,부분,부분,전체를 이루고 있는 작은 범위. 또는 전체를 여러 개로 나눈 것 가운데 하나.,배운 부분.,공통의 부분.,부분의 합.,미사용,"까닭, 기록, 입체, 판단, 역할, 장단점",정답:부분 | 보기:법/분/부/예/임,"chunks:우리는/교실에서/부분을/배웠다. | targetIndex:2 | vocabDistractor:까닭을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:부분이,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=65853 | AUTO_SELECTED_90_BALANCED
119,관련 있다,관련하다,"둘 이상의 사람, 사물, 현상 등이 서로 영향을 주고받도록 관계를 맺고 있다.",관련한 질문.,문제에 관련하다.,사건에 관련하다.,미사용,"실행, 단순, 크기, 기술, 대상, 점검",정답:관련있다 | 보기:다/관/성/련/있/어,"chunks:민수는/집에서/'관련 있다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'실행' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'관련 있다' 뜻이,틀리게 말했다.",초안,초안,Y,OK_NORMALIZED(관련하다) | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=30320 | AUTO_SELECTED_90_BALANCED
120,맞다,맞다,문제에 대한 답이 틀리지 않다.,맞는 정답.,맞게 풀다.,이 문제에 맞는 답을 쓰시오.,미사용,"관점, 재구성, 배경, 창의적, 분류, 기준",정답:맞다 | 보기:맞/다/가/나/라,"chunks:지수는/도서관에서/'맞다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'관점' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'맞다' 뜻이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=66231
121,의견,의견,어떤 대상이나 현상 등에 대해 나름대로 판단하여 가지는 생각.,다수의 의견.,의견 차이.,의견이 다르다.,미사용,"나누다, 묶다, 표면, 확대, 대상, 작성",정답:의견 | 보기:의/견/가/나/다,"chunks:나는/수업 시간에/의견을/배웠다. | targetIndex:2 | vocabDistractor:나누다를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:의견이,잊어버렸다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=71118
122,대비,대비,두 가지의 차이를 알아보기 위해 서로 비교함. 또는 그런 비교.,물가 대비.,색조 대비.,대비가 되다.,미사용,"판단, 주제, 반면, 형태, 기준, 구성",정답:대비 | 보기:성/대/서/비/달,"chunks:우리는/교실에서/대비를/배웠다. | targetIndex:2 | vocabDistractor:판단을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:대비가,대충 봤다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=56049 | AUTO_SELECTED_90_BALANCED
123,보고,보고,연구하거나 조사한 것의 내용이나 결과를 말이나 글로 알림.,결과 보고.,동향 보고.,상황 보고.,미사용,"범위, 개요, 수단, 찬성, 결과, 도구",정답:보고 | 보기:징/작/보/차/고,"chunks:민수는/집에서/보고를/배웠다. | targetIndex:2 | vocabDistractor:범위를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:보고가,틀리게 말했다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=59392 | AUTO_SELECTED_90_BALANCED
124,떠오르다,떠오르다,위를 향하여 떠서 올라가다.,떠오르는 태양.,달이 떠오르다.,무지개가 떠오르다.,미사용,"불가능, 수단, 대부분, 정확히, 특징, 반면",정답:떠오르다 | 보기:떠/오/르/다/가,"chunks:지수는/도서관에서/'떠오르다' 뜻을/배웠다. | targetIndex:2 | vocabDistractor:'불가능' 뜻을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:'떠오르다' 뜻이,혼자 놀았다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=53785
125,제시,제시,무엇을 하고자 하는 생각을 말이나 글로 나타내어 보임.,대안 제시.,의견 제시.,해결책 제시.,미사용,"제출, 역할, 의미, 기준, 단순, 계획",정답:제시 | 보기:시/제/소/요/술,"chunks:나는/수업 시간에/제시를/배웠다. | targetIndex:2 | vocabDistractor:제출을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:제시가,잊어버렸다.",초안,초안,Y,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=31794 | AUTO_SELECTED_90_BALANCED
126,미래,미래,앞으로 올 때.,나라의 미래.,아이의 미래.,가까운 미래.,미사용,"자료, 정하다, 참여, 연구, 기술, 번갈다",정답:미래 | 보기:미/래/가/나/다,"chunks:우리는/교실에서/미래를/배웠다. | targetIndex:2 | vocabDistractor:자료를 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:미래가,대충 봤다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=61518
127,발달,발달,"신체, 정서, 지능 등이 성장하거나 성숙함.",시각 발달.,뇌의 발달.,운동 신경의 발달.,미사용,"관찰, 주제, 표시, 의미, 상황, 내용",정답:발달 | 보기:발/달/가/나/다,"chunks:민수는/집에서/발달을/배웠다. | targetIndex:2 | vocabDistractor:관찰을 | hints:누가?/언제/어디서?/무엇을?/어찌했나? | fullDistractors:발달이,틀리게 말했다.",초안,초안,N,OK | https://krdict.korean.go.kr/kor/dicSearch/SearchView?ParaWordNo=69497
